1e6.xyz
1  SP_EE(Eh)=-3483.15969723, gcorr(Eh)=1.13614343, G(Eh)=-3482.02355380, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-3483.15987057, gcorr(Eh)=1.13649565, G(Eh)=-3482.02337492, Rel. G(kcal/mol)=0.11
3  SP_EE(Eh)=-3483.15424501, gcorr(Eh)=1.13359522, G(Eh)=-3482.02064979, Rel. G(kcal/mol)=1.82
4  SP_EE(Eh)=-3483.15382644, gcorr(Eh)=1.13485200, G(Eh)=-3482.01897444, Rel. G(kcal/mol)=2.87
5  SP_EE(Eh)=-3483.15212884, gcorr(Eh)=1.13354924, G(Eh)=-3482.01857960, Rel. G(kcal/mol)=3.12
6  SP_EE(Eh)=-3483.15291296, gcorr(Eh)=1.13464316, G(Eh)=-3482.01826980, Rel. G(kcal/mol)=3.32
7  SP_EE(Eh)=-3483.15250347, gcorr(Eh)=1.13450035, G(Eh)=-3482.01800312, Rel. G(kcal/mol)=3.48
8  SP_EE(Eh)=-3483.15403000, gcorr(Eh)=1.13634282, G(Eh)=-3482.01768718, Rel. G(kcal/mol)=3.68
9  SP_EE(Eh)=-3483.15179960, gcorr(Eh)=1.13504489, G(Eh)=-3482.01675471, Rel. G(kcal/mol)=4.27
10 SP_EE(Eh)=-3483.15198035, gcorr(Eh)=1.13596970, G(Eh)=-3482.01601065, Rel. G(kcal/mol)=4.73
11 SP_EE(Eh)=-3483.15127484, gcorr(Eh)=1.13686748, G(Eh)=-3482.01440736, Rel. G(kcal/mol)=5.74
12 SP_EE(Eh)=-3483.14833570, gcorr(Eh)=1.13509027, G(Eh)=-3482.01324543, Rel. G(kcal/mol)=6.47

1r6.xyz
1  SP_EE(Eh)=-3483.15808078, gcorr(Eh)=1.13465102, G(Eh)=-3482.02342976, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-3483.15708150, gcorr(Eh)=1.13488633, G(Eh)=-3482.02219517, Rel. G(kcal/mol)=0.77
3  SP_EE(Eh)=-3483.15579349, gcorr(Eh)=1.13490583, G(Eh)=-3482.02088766, Rel. G(kcal/mol)=1.60
4  SP_EE(Eh)=-3483.15691844, gcorr(Eh)=1.13653654, G(Eh)=-3482.02038190, Rel. G(kcal/mol)=1.91
5  SP_EE(Eh)=-3483.15471877, gcorr(Eh)=1.13463277, G(Eh)=-3482.02008600, Rel. G(kcal/mol)=2.10
6  SP_EE(Eh)=-3483.15538874, gcorr(Eh)=1.13587100, G(Eh)=-3482.01951774, Rel. G(kcal/mol)=2.45
7  SP_EE(Eh)=-3483.15462740, gcorr(Eh)=1.13520154, G(Eh)=-3482.01942586, Rel. G(kcal/mol)=2.51
8  SP_EE(Eh)=-3483.15378652, gcorr(Eh)=1.13479177, G(Eh)=-3482.01899475, Rel. G(kcal/mol)=2.78
